location,year,month,type,expected.mean,acm.mean,excess.mean*,cumul.excess.mean*,cumul.excess.low*,cumul.excess.high*,,,
Global,2020,1,Predicted,4899145,5171873,269871,269871,143228,421503,,,
Global,2020,2,Predicted,4781785,4678191,-107603,162269,-15980,370310,,,
Global,2020,3,Predicted,4716585,4558346,-162571,-302,-217109,229471,,,
Global,2020,4,Predicted,4590723,4373584,-221185,-221487,-467284,45925,,,
Global,2020,5,Predicted,4521806,4550825,25235,-196252,-464445,105584,,,
Global,2020,6,Predicted,4477818,4834794,353768,157516,-179953,508369,,,
Global,2020,7,Predicted,4504884,5091435,582859,740375,350102,1121130,,,
Global,2020,8,Predicted,4496051,5129163,629387,1369761,953465,1805144,,,
Global,2020,9,Predicted,4484869,5100237,611556,1981317,1531474,2445514,,,
Global,2020,10,Predicted,4587511,5268777,677494,2658810,2192772,3172076,,,
Global,2020,11,Predicted,4707466,5535404,824082,3482892,2985828,4011298,,,
Global,2020,12,Predicted,4902174,5860449,954974,4437866,3884591,5031188,,,
Global,2021,1,Predicted,4933216,5948533,1013380,5451246,4860958,6107967,,,
Global,2021,2,Predicted,4815180,5212351,394188,5845433,5228424,6542954,,,
Global,2021,3,Predicted,4749960,5247162,495016,6340449,5681245,7063106,,,
Global,2021,4,Predicted,4622003,5449535,824979,7165428,6439732,7930316,,,
Global,2021,5,Predicted,4554360,6292974,1737021,8902448,8100430,9741166,,,
Global,2021,6,Predicted,4508786,6052087,1540902,10443350,9588054,11337876,,,
Global,2021,7,Predicted,4536656,5603543,1064907,11508257,10631497,12419866,,,
Global,2021,8,Predicted,4527947,5403896,873823,12382080,11424142,13320767,,,
Global,2021,9,Predicted,4515595,5135214,616975,12999055,11988504,13981669,,,
Global,2021,10,Predicted,4620056,5270247,649101,13648157,12572296,14713005,,,
Global,2021,11,Predicted,4740881,5353576,611343,14259500,12967318,15600045,,,
Global,2021,12,Predicted,4936301,5542373,603388,14862887,13278860,16625075,,,
AFRO,2020,1,Predicted,657358,676786,19403,19403,-33118,79515,,,
AFRO,2020,2,Predicted,647915,649830,1890,21294,-53876,106902,,,
AFRO,2020,3,Predicted,644331,640089,-4267,17027,-75036,122660,,,
AFRO,2020,4,Predicted,645027,608615,-36437,-19410,-128777,106972,,,
AFRO,2020,5,Predicted,650562,638915,-11672,-31082,-154998,101303,,,
AFRO,2020,6,Predicted,658814,687160,28322,-2759,-142181,145843,,,
AFRO,2020,7,Predicted,664076,741917,77816,75057,-74431,233792,,,
AFRO,2020,8,Predicted,662020,715840,53795,128852,-46615,305563,,,
AFRO,2020,9,Predicted,655949,682569,26595,155447,-23056,347508,,,
AFRO,2020,10,Predicted,652280,666312,14007,169454,-20641,368837,,,
AFRO,2020,11,Predicted,653309,675004,21671,191125,-12743,413470,,,
AFRO,2020,12,Predicted,655498,703392,47870,238995,23899,468445,,,
AFRO,2021,1,Predicted,657117,752049,94885,333881,115875,561883,,,
AFRO,2021,2,Predicted,647707,706793,59040,392920,156220,627898,,,
AFRO,2021,3,Predicted,644080,696598,52472,445392,193755,689487,,,
AFRO,2021,4,Predicted,644788,680228,35394,480786,230011,732604,,,
AFRO,2021,5,Predicted,650455,680857,30356,511142,249063,767163,,,
AFRO,2021,6,Predicted,658602,703484,44836,555977,282267,828519,,,
AFRO,2021,7,Predicted,663773,748918,85099,641076,364772,926504,,,
AFRO,2021,8,Predicted,661674,731885,70164,711240,429787,995239,,,
AFRO,2021,9,Predicted,655683,692547,36818,748058,460946,1041556,,,
AFRO,2021,10,Predicted,652072,662953,10834,758892,458258,1065493,,,
AFRO,2021,11,Predicted,653086,664731,11598,770490,462113,1081994,,,
AFRO,2021,12,Predicted,655201,704285,49038,819529,502922,1148577,,,
AMRO,2020,1,Predicted,619691,634106,12691,12691,2703,23011,,,
AMRO,2020,2,Predicted,595470,582995,-14197,-1506,-15722,13557,,,
AMRO,2020,3,Predicted,608176,632239,22340,20834,1987,40243,,,
AMRO,2020,4,Predicted,597433,703230,104074,124908,103384,146941,,,
AMRO,2020,5,Predicted,603468,745186,139995,264903,240865,289665,,,
AMRO,2020,6,Predicted,600911,733521,130886,395789,366839,423000,,,
AMRO,2020,7,Predicted,608959,810924,200242,596031,566011,626053,,,
AMRO,2020,8,Predicted,598249,769386,169414,765445,733843,797796,,,
AMRO,2020,9,Predicted,587124,685870,97022,862467,828677,894977,,,
AMRO,2020,10,Predicted,597537,703213,103953,966420,930199,1000949,,,
AMRO,2020,11,Predicted,601060,725787,123003,1089423,1051079,1125242,,,
AMRO,2020,12,Predicted,628943,843827,213161,1302585,1261299,1341391,,,
AMRO,2021,1,Predicted,629978,953489,321970,1624554,1582101,1665620,,,
AMRO,2021,2,Predicted,605478,756830,149811,1774365,1730194,1818691,,,
AMRO,2021,3,Predicted,618723,809037,188773,1963139,1918912,2011251,,,
AMRO,2021,4,Predicted,607154,793562,184867,2148005,2102752,2196202,,,
AMRO,2021,5,Predicted,613604,792537,177392,2325397,2277021,2374926,,,
AMRO,2021,6,Predicted,610864,753652,141247,2466644,2418838,2518760,,,
AMRO,2021,7,Predicted,618948,753137,132649,2599293,2550873,2652510,,,
AMRO,2021,8,Predicted,608501,811428,201386,2800679,2749940,2854750,,,
